Character,train,val,test,train,val,test,train,val,test
A,187,78,2,153,12,57,340,90,59
B,371,56,74,351,63,13,722,119,87
C,200,0,52,169,54,1,369,54,53
D,62,6,59,70,8,25,132,14,84
E,60,1,6,48,4,0,108,5,6
F,25,3,4,21,2,0,46,5,4
G,420,0,0,259,4,88,679,4,88
H,153,0,70,169,8,9,322,8,79
I,0,0,0,0,0,0,0,0,0
J,239,10,6,138,46,0,377,56,6
K,63,0,5,34,1,1,97,1,6
L,294,3,17,179,64,21,473,67,38
M,152,6,6,126,10,2,278,16,8
N,92,11,4,70,2,0,162,13,4
O,0,0,0,0,0,0,0,0,0
P,182,10,61,188,17,1,370,27,62
Q,88,41,2,103,1,0,191,42,2
R,75,2,5,71,2,0,146,4,5
S,298,6,20,156,29,84,454,35,104
T,50,1,7,27,5,0,77,6,7
U,21,0,0,11,0,0,32,0,0
V,902,185,183,815,118,116,1717,303,299
W,784,90,53,653,36,60,1437,126,113
X,94,57,0,61,8,53,155,65,53
Y,56,7,0,48,6,0,104,13,0
Z,0,0,0,0,0,0,0,0,0
0,194,11,28,163,12,6,357,23,34
1,1001,32,31,675,85,106,1676,117,137
2,728,118,156,688,73,8,1416,191,164
3,1120,103,146,874,50,180,1994,153,326
4,501,133,109,390,99,114,891,232,223
5,331,81,24,327,47,1,658,128,25
6,535,41,71,406,79,32,941,120,103
7,803,87,121,530,82,222,1333,169,343
8,708,121,81,661,76,1,1369,197,82
9,787,81,66,642,68,36,1429,149,102
